"","name","lat","long","segment","isCentralOffice"
"211","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,106,TRUE
"212","1044370 Crown Atlantic Company LLC. ",40.780417,-75.647139,106,FALSE
"213","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,107,TRUE
"214","1044370 Crown Atlantic Company LLC. ",40.780417,-75.647139,107,FALSE
"215","ESTNPAEA VERIZON PENNSYLVANIA, INC.",40.6936,-75.2099,108,TRUE
"216","1044370 Crown Atlantic Company LLC. ",40.780417,-75.647139,108,FALSE
"217","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,109,TRUE
"218","1025982 Blue Ridge Cable Technologies Inc. ",40.829167,-75.646944,109,FALSE
"219","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,110,TRUE
"220","1025982 Blue Ridge Cable Technologies Inc. ",40.829167,-75.646944,110,FALSE
"221","ESTNPAEA VERIZON PENNSYLVANIA, INC.",40.6936,-75.2099,111,TRUE
"222","1025982 Blue Ridge Cable Technologies Inc. ",40.829167,-75.646944,111,FALSE
"223","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,112,TRUE
"224","1230331 Pennsylvania Turnpike Commission",40.766472,-75.643056,112,FALSE
"225","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,113,TRUE
"226","1230331 Pennsylvania Turnpike Commission",40.766472,-75.643056,113,FALSE
"227","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,114,TRUE
"228","1230331 Pennsylvania Turnpike Commission",40.766472,-75.643056,114,FALSE
"229","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,115,TRUE
"230","1211001 Sba 2012 Tc Assets LLC",40.767722,-75.638583,115,FALSE
"231","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,116,TRUE
"232","1211001 Sba 2012 Tc Assets LLC",40.767722,-75.638583,116,FALSE
"233","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,117,TRUE
"234","1211001 Sba 2012 Tc Assets LLC",40.767722,-75.638583,117,FALSE
"235","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,118,TRUE
"236","1269792 Sba 2012 Tc Assets LLC",40.673806,-75.635833,118,FALSE
"237","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,119,TRUE
"238","1269792 Sba 2012 Tc Assets LLC",40.673806,-75.635833,119,FALSE
"239","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,120,TRUE
"240","1269792 Sba 2012 Tc Assets LLC",40.673806,-75.635833,120,FALSE
"241","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,121,TRUE
"242","1266604 Sba 2012 Tc Assets LLC",40.4745,-75.631639,121,FALSE
"243","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,122,TRUE
"244","1266604 Sba 2012 Tc Assets LLC",40.4745,-75.631639,122,FALSE
"245","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,123,TRUE
"246","1266604 Sba 2012 Tc Assets LLC",40.4745,-75.631639,123,FALSE
"247","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,124,TRUE
"248","1213069 Sba Properties LLC",40.879694,-75.615583,124,FALSE
"249","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,125,TRUE
"250","1213069 Sba Properties LLC",40.879694,-75.615583,125,FALSE
"251","SFTBPA01 SERVICE ELECTRIC TELEPHONE, INC.",40.5569,-75.2898,126,TRUE
"252","1213069 Sba Properties LLC",40.879694,-75.615583,126,FALSE
"253","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,127,TRUE
"254","1288583 New Cingular Wireless Pcs LLC (AT&T)",40.694917,-75.608556,127,FALSE
"255","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,128,TRUE
"256","1288583 New Cingular Wireless Pcs LLC (AT&T)",40.694917,-75.608556,128,FALSE
"257","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,129,TRUE
"258","1288583 New Cingular Wireless Pcs LLC (AT&T)",40.694917,-75.608556,129,FALSE
"259","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,130,TRUE
"260","1287813 New Cingular Wireless Pcs LLC (AT&T)",40.666056,-75.604028,130,FALSE
"261","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,131,TRUE
"262","1287813 New Cingular Wireless Pcs LLC (AT&T)",40.666056,-75.604028,131,FALSE
"263","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,132,TRUE
"264","1287813 New Cingular Wireless Pcs LLC (AT&T)",40.666056,-75.604028,132,FALSE
"265","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,133,TRUE
"266","1044271 American Towers LLC",40.583306,-75.602333,133,FALSE
"267","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,134,TRUE
"268","1044271 American Towers LLC",40.583306,-75.602333,134,FALSE
"269","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,135,TRUE
"270","1044271 American Towers LLC",40.583306,-75.602333,135,FALSE
"271","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,136,TRUE
"272","1027009 Felhc ",40.429444,-75.595278,136,FALSE
"273","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,137,TRUE
"274","1027009 Felhc ",40.429444,-75.595278,137,FALSE
"275","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,138,TRUE
"276","1027009 Felhc ",40.429444,-75.595278,138,FALSE
"277","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,139,TRUE
"278","1241553 Capstar Radio Operating Co",40.720361,-75.595167,139,FALSE
"279","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,140,TRUE
"280","1241553 Capstar Radio Operating Co",40.720361,-75.595167,140,FALSE
"281","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,141,TRUE
"282","1241553 Capstar Radio Operating Co",40.720361,-75.595167,141,FALSE
"283","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,142,TRUE
"284","1281239 Berks County of",40.429667,-75.594361,142,FALSE
"285","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,143,TRUE
"286","1281239 Berks County of",40.429667,-75.594361,143,FALSE
"287","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,144,TRUE
"288","1281239 Berks County of",40.429667,-75.594361,144,FALSE
"289","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,145,TRUE
"290","1217394 New Cingular Wireless Pcs LLC (AT&T)",40.752111,-75.594028,145,FALSE
"291","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,146,TRUE
"292","1217394 New Cingular Wireless Pcs LLC (AT&T)",40.752111,-75.594028,146,FALSE
"293","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,147,TRUE
