ID,BridgeClass,Census Tract,Name,Owner,BridgeType,Width,NumSpans,MaxSpanLength,SkewAngle,SeatLength,SeatWidth,YearBuilt,YearRemodeled,PierType,FoundationType,ScourIndex,Traffic,TrafficIndex,Condition,Cost,Latitude,Longitude
PA015053,HWB3 ,42077005401,T-649 NARRIS RD,Town Highway Agency,,4.9,1,9,0,,,1980,0,N000000000,,3,100,,,95.35,40.65953,-75.69214
PA015054,HWB12,42077005401,T-659 HOLLENBACH R,County Highway Agency,,4.7,2,17,0,,,1944,0,N000000000,,8,200,,,233.09,40.66542,-75.68836
PA015055,HWB10,42077005401,T-667 WINCHESTER R,Town Highway Agency,,4.9,2,5,0,,,1941,0,N000000000,,3,50,,,95.35,40.6595,-75.63861
PA015056,HWB3 ,42077005401,T-669 BEAR RD,Town Highway Agency,,5.5,1,8,0,,,1960,0,N000000000,,2,100,,,87.41,40.65142,-75.63858
PA015057,HWB28,42077005401,T-682 BITTNERS COR,County Highway Agency,,5.7,2,10,0,,,1875,0,N000000000,,8,100,,,231.5,40.65758,-75.68361
PA015058,HWB3 ,42077005302,T-654 ROSS VALLEY,Town Highway Agency,,6.1,1,10,0,,,1950,0,N000000000,,6,100,,,107.71,40.65242,-75.72906
PA015059,HWB28,42077005302,T-719 SPRINGHOUSE,County Highway Agency,,6.4,2,4,20,,,1834,0,N000000000,,7,100,,,90.41,40.69444,-75.76361
PA015060,HWB10,42077005302,T-735 ALLEMAENGEL,County Highway Agency,,6.2,2,16,0,,,1910,0,N000000000,,6,200,,,372.23,40.66325,-75.83556
PA015061,HWB5 ,42077005302,T-768 ULRICHS BR,County Highway Agency,,7.8,2,12,19,,,1954,0,N000000000,,3,200,,,344.33,40.6755,-75.78144
PA015062,HWB28,42077005302,T-770 GUN CLUB RD,County Highway Agency,,7,5,5,0,,,1885,0,N000000000,,3,50,,,519.15,40.68133,-75.76953
PA015063,HWB4 ,42077005504,LEHIGH ST. T-687,Town Highway Agency,,13.3,1,8,13,,,1991,0,N000000000,,6,0,,,187.88,40.67,-75.55
PA015064,HWB3 ,42077005504,QUARRY ST.  T-695,Town Highway Agency,,10.8,1,8,50,,,1920,0,N000000000,,3,0,,,152.57,40.67256,-75.54461
PA015065,HWB3 ,42077005506,T-593 JORDAN RD.,County Highway Agency,,5.4,1,35,0,,,1858,0,N000000000,,3,100,,,400.48,40.63483,-75.61289
PA015066,HWB28,42077005503,T-674 COPLAY CK.RD,Town Highway Agency,,10.1,2,5,34,,,1995,0,N000000000,,6,0,,,178.35,40.67667,-75.59667
PA015067,HWB3 ,42077005506,T-681 OLD PACKHOUS,County Highway Agency,,5.2,1,34,0,,,1860,0,N000000000,,7,100,,,376.47,40.64631,-75.62383
PA015068,HWB3 ,42077006204,T574 HAAS BRIDGE,County Highway Agency,,4.6,1,9,0,,,1902,0,N000000000,,7,100,,,105.95,40.61444,-75.62161
PA015069,HWB3 ,42077006204,T584 TWP.LINE ROAD,Town Highway Agency,,9.8,1,9,0,,,1977,0,N000000000,,5,100,,,173.05,40.60928,-75.62756
PA015070,HWB3 ,42077006402,T-416 SIGMUND RD,Town Highway Agency,,5.4,1,6,40,,,1950,0,N000000000,,4,100,,,76.28,40.47169,-75.55714
PA015071,HWB3 ,42077006402,T-416 YEAKELS MILL,Town Highway Agency,,5.8,1,8,0,,,1960,0,N000000000,,3,100,,,92.17,40.46472,-75.54889
PA015072,HWB3 ,42077006402,T-837 TOLLGATE RD,Town Highway Agency,,7.9,1,8,0,,,1919,0,N000000000,,3,50,,,111.6,40.47822,-75.53236
PA015073,HWB3 ,42077006903,PRESTON LANE,Town Highway Agency,,6.2,1,13,0,,,1973,0,N000000000,,3,50,,,142.32,40.53639,-75.39339
PA015074,HWB3 ,42077006906,T-410 CHESTNUTHILL,Town Highway Agency,,7.3,1,7,0,,,1935,0,N000000000,,3,300,,,103.12,40.53369,-75.44914
PA015075,HWB28,42077006905,T-440 KOZY KORNER,Town Highway Agency,,9.1,2,4,0,,,1990,0,N000000000,,6,75,,,128.55,40.525,-75.45167
PA015076,HWB28,42077006903,T-458 VALLEY RD,Town Highway Agency,,12.2,3,5,0,,,1993,0,N000000000,,6,100,,,301.6,40.54889,-75.41078
PA015077,HWB3 ,42077005200,T-704,Town Highway Agency,,5.9,1,6,30,,,1939,0,N000000000,,3,50,,,72.93,40.73772,-75.59536
PA015078,HWB3 ,42077005200,T-721 LOVERS LANE,Town Highway Agency,,6.1,1,6,0,,,1921,0,N000000000,,4,50,,,75.4,40.74153,-75.64925
